Station,Lat,Lon,Height,X,Y,Z,TPI,ASPECT,SLOPE,STD,D_WE,D_SN,cluster
THU,46.74985278,7.585222222,570.0,2611200.841,1177639.795,569.7202759,-4.753967285,58.0799408,1.065326333,0.0,-0.015783692,-0.009832153,5
ARH,47.48363056,9.56685,397.7,2760386.656,1261382.307,398.0249939,-4.981079102,9.541137695,0.998767257,0.0,-0.00288971,-0.017192382,6
BIZ,47.50882778,9.266797222,507.0,2737713.302,1263612.897,508.7296753,7.363647461,207.0887909,0.754475355,0.0,0.005996704,0.011724243,6
EBK,47.27338889,9.108494444,623.2,2726347.638,1237176.203,622.4047241,-35.36590576,116.4160461,0.120266557,28.98602706,-0.001879883,0.000933838,6
GUT,47.60173333,9.279427778,440.02,2738422.186,1273962.374,438.5906372,-6.580230713,35.01057434,2.215856314,0.0,-0.022199402,-0.031691588,6
HAI,47.65124167,9.023911111,718.7,2719099.802,1279046.595,714.0578613,25.07641602,338.4004517,1.470632434,0.0,0.009450683,-0.023870239,6
SAE,47.24944722,9.343469444,2501.47,2744187.974,1234920.25,2468.104736,340.7758789,273.0655823,5.859460354,144.6406655,0.102478027,-0.005488281,6
STG,47.425475,9.398527778,775.66,2747865.883,1254587.751,778.1234131,8.510620117,332.4795532,7.238630295,71.35442524,0.058688965,-0.112642214,6
BIA,46.33605278,8.978197222,278.0,2718534.955,1132791.495,279.2625122,-146.9380188,258.6342468,20.57657242,230.8762265,0.368046582,0.073982239,7
CEV,46.32048611,8.603161111,417.0,2689687.956,1130563.601,419.1625061,-195.5226746,159.797287,5.5090065,220.6776555,-0.033307496,0.090513915,7
CIM,46.20046667,8.79165,1661.0,2704433.579,1117456.505,1654.587524,190.706665,157.8979034,10.87295246,142.8222389,-0.072271727,0.17796509,7
COM,46.45951667,8.935486111,575.32,2714985.056,1146450.216,575.1875,-67.52709961,70.5166626,4.724140167,93.98871423,-0.077907108,-0.027562866,7
GEN,45.92759167,9.017875,1600.4,2722503.51,1087454.42,1585.222534,229.2757568,258.098053,9.499515533,167.7088956,0.163736567,0.034510497,7
GRO,46.255075,9.163758333,323.52,2733017.613,1124089.059,326.3109131,-123.7206421,271.8026428,9.902663231,164.6175959,0.174489439,-0.005491638,7
LUG,46.00421667,8.960322222,273.0,2717874.381,1095882.79,272.7843933,-5.025115967,203.5000305,0.984429955,7.642353101,0.006851807,0.015758056,7
MAG,46.160025,8.933672222,203.2,2715480.156,1113160.584,203.5890656,-0.703399658,327.7600708,0.136056095,0.0,0.001266785,-0.002008514,7
OTL,46.17225556,8.787494444,366.98,2704166.775,1114315.343,366.4577942,28.43112183,165.6341858,14.79319286,140.2874682,-0.065522462,0.255826712,7
SBE,46.46354167,9.1847,1638.7,2734116.316,1147293.222,1636.390625,-87.15478516,99.75852966,8.758765221,92.87615889,-0.151842043,0.026114501,7
SBO,45.84344444,8.932363889,351.32,2716049.21,1077971.642,351.9296875,-23.53936768,50.47114563,0.580802143,27.52820058,-0.007818908,-0.006452026,7
AND,46.61013889,9.431980556,987.1,2752692.222,1164037.188,984.3546753,-57.05206299,285.0706787,4.688557625,71.57084569,0.079193115,-0.021324463,8
ARO,46.79266111,9.679013889,1878.0,2771030.942,1184829.957,1875.982788,-25.83764648,125.0077972,11.29539299,96.59179697,-0.163598627,0.114586182,8
CHU,46.87057222,9.530761111,556.123,2759485.119,1193175.608,554.7828369,-24.88323975,233.4473572,1.148031712,16.17093697,0.016098022,0.011934814,8
DAV,46.81296944,9.843558333,1594.16,2783519.28,1187458.457,1592.403076,-38.69958496,124.913147,6.99900341,76.5544722,-0.100671388,0.070263669,8
ELM,46.92374167,9.175347222,957.6,2732265.585,1198423.8,952.8062744,-132.1291504,242.6609497,4.252710819,134.2229437,0.066054687,0.034150392,8
GLA,47.03458611,9.066961111,516.62,2723756.542,1210566.838,509.1671753,-29.49694824,42.96478271,8.060278893,79.46331476,-0.096516721,-0.103629149,8
PMA,46.57718056,9.529544444,2668.34,2760261.631,1160569.206,2653.903076,197.6323242,95.20327759,4.421066761,77.473644,-0.076997072,0.007011719,8
RAG,47.01663056,9.502594444,496.5,2756911.282,1209350.502,497.9781189,-2.031036377,285.9931335,0.602298558,0.0,0.010105591,-0.002896423,8
VAB,46.75503889,9.554433333,1568.4,2761635.611,1180385.036,1572.0625,2.384277344,72.20609283,4.215019226,48.44571511,-0.070173338,-0.022521973,8
VAD,47.12747222,9.517577778,457.25,2757723.584,1221698.901,458.3234253,-12.7454834,255.6483154,3.756014585,31.5979913,0.06360016,0.016272582,8
WFJ,46.833325,9.806394444,2691.24,2780615.888,1189634.048,2675.146729,118.7558594,102.7494202,7.068716526,84.78155567,-0.120944828,0.027365722,8
CHZ,47.18827778,8.464641667,442.5,2677758.982,1226877.619,441.3984375,16.47784424,133.8963776,0.519306779,0.0,-0.006531372,0.006284485,9
EIN,47.13304167,8.756555556,910.7,2699983.699,1221067.997,910.3375244,5.198791504,324.7345581,1.997066259,0.0,0.020132447,-0.028470458,9
HLL,47.69727778,8.470463889,419.0,2677456.11,1283471.588,418.9796753,-9.283111572,158.1380768,1.352380753,0.0,-0.008790893,0.021910096,9
HOE,47.37086389,8.941644444,1132.61,2713517.243,1247756.24,1120.862549,189.6013794,258.4388428,2.093316078,58.69057818,0.035809938,0.007325439,9
KLO,47.47961111,8.535961111,426.26,2682710.834,1259338.263,425.1124878,1.235412598,167.883606,0.388105601,0.0,-0.001421814,0.006622925,9
PFA,47.37681667,8.754863889,537.0,2699400.739,1248164.535,537.6531372,-3.02722168,2.881668091,0.477871537,0.0,-0.000419312,-0.008330078,9
REH,47.42769444,8.517952778,443.53,2681432.951,1253547.636,441.5,-5.257598877,193.4140472,0.230410993,0.0,0.000932922,0.003911743,9
SHA,47.68984167,8.620141667,438.38,2688703.432,1282803.289,435.4562378,-7.91418457,113.1748123,3.17215085,33.32303488,-0.050949097,0.021810303,9
SMA,47.377925,8.565741667,555.95,2685117.753,1248065.378,555.7453613,-6.687438965,222.5896759,5.435379028,50.87544975,0.064392701,0.070051879,9
TAE,47.47989167,8.904927778,539.0,2710517.957,1259823.782,536.8297119,-18.53289795,26.99250793,1.804277301,4.246669832,-0.014297485,-0.028069459,9
WAE,47.22095833,8.677705556,485.37,2693847.962,1230743.537,487.3796997,1.528930664,30.84094238,6.277974606,57.27728959,-0.056398317,-0.09445557,9
